Ref,Year,Zona,vertice,lat,lon
Vilalta-Navas,2018,Isla Natividad,1,27.93,-115.28
Vilalta-Navas,2018,Isla Natividad,2,27.93,-115.12
Vilalta-Navas,2018,Isla Natividad,3,27.82,-115.12
Vilalta-Navas,2018,Isla Natividad,4,27.82,-115.28
Salcido-Guevara,2007,Sinaloa benthic,1,22.367,-107.45
Salcido-Guevara,2007,Sinaloa benthic,2,22.367,-105.833
Salcido-Guevara,2007,Sinaloa benthic,3,24.167,-105.833
Salcido-Guevara,2007,Sinaloa benthic,4,24.167,-107.45
Ruiz,2016,Darwin and Wolf,1,1.41141,-92.00849
Ruiz,2016,Darwin and Wolf,2,1.41141,-89.24089
Ruiz,2016,Darwin and Wolf,3,1.681575,-89.24089
Ruiz,2016,Darwin and Wolf,4,1.681575,-92.00849
Morales-Zarate,2004,Northern GC,1,29.4758920937028,-115.331125289131
Morales-Zarate,2004,Northern GC,2,29.4758920937028,-112.404110390263
Morales-Zarate,2004,Northern GC,3,32.0190444305102,-112.404110390263
Morales-Zarate,2004,Northern GC,4,32.0190444305102,-115.331125289131
Morales Zarate,2011,Bahía de Tortugas,1,27.7,-114.91
Morales Zarate,2011,Bahía de Tortugas,2,27.7,-114.84
Morales Zarate,2011,Bahía de Tortugas,3,27.63,-114.84
Morales Zarate,2011,Bahía de Tortugas,4,27.63,-114.91
Hernandez-Padilla,2021,Southeastern Gulf of California,1,23.55,-106.06
Hernandez-Padilla,2021,Southeastern Gulf of California,2,21.58,-105.23
Hernandez-Padilla,2021,Southeastern Gulf of California,3,21.32,-106.18
Hernandez-Padilla,2021,Southeastern Gulf of California,4,23.29,-107.12
Hermosillo,2018,Chamela,1,19.6,-105.2
Hermosillo,2018,Chamela,2,19.6,-105.06
Hermosillo,2018,Chamela,3,19.48,-105.06
Hermosillo,2018,Chamela,4,19.48,-105.2
Hermosillo,2018,Isla Isabel,1,21.86,-105.9
Hermosillo,2018,Isla Isabel,2,21.86,-105.88
Hermosillo,2018,Isla Isabel,3,21.83,-105.88
Hermosillo,2018,Isla Isabel,4,21.83,-105.9
Hermosillo,2018,Islas Marietas,1,20.73,-105.61
Hermosillo,2018,Islas Marietas,2,20.73,-105.54
Hermosillo,2018,Islas Marietas,3,20.68,-105.54
Hermosillo,2018,Islas Marietas,4,20.68,-105.61
Fourriere,2019,Isla del Coco,1,5.59,-87.13
Fourriere,2019,Isla del Coco,2,5.59,-87
Fourriere,2019,Isla del Coco,3,5.47,-87
Fourriere,2019,Isla del Coco,4,5.47,-87.13
Diaz-Uribe,2007,La Paz,1,24.0051612867192,-111.029474878346
Diaz-Uribe,2007,La Paz,2,24.0051612867192,-109.544436867107
Diaz-Uribe,2007,La Paz,3,25.2550387702748,-109.544436867107
Diaz-Uribe,2007,La Paz,4,25.2550387702748,-111.029474878346
Díaz-Uribe,2012,North and central GC,1,31.65,-115.82
Díaz-Uribe,2012,North and central GC,2,32,-113.5
Díaz-Uribe,2012,North and central GC,3,25.23,-107.98
Díaz-Uribe,2012,North and central GC,4,25.47,-111.28
del Monte-Luna,2007,Ulloa model,1,26.13,-111.93
del Monte-Luna,2007,Ulloa model,2,24.9,-112.02
del Monte-Luna,2007,Ulloa model,3,24.99,-113.24
del Monte-Luna,2007,Ulloa model,4,26.22,-113.17
Cruz-Escalona,2013,Bahía Magdalena,1,24.97,-112.09
Cruz-Escalona,2013,Bahía Magdalena,2,24.38,-111.43
Cruz-Escalona,2013,Bahía Magdalena,3,24.17,-111.68
Cruz-Escalona,2013,Bahía Magdalena,4,24.75,-112.33
Calderon,2021,Cabo Pulmo,1,23.51,-109.35
Calderon,2021,Cabo Pulmo,2,23.35,-109.35
Calderon,2021,Cabo Pulmo,3,23.35,-109.48
Calderon,2021,Cabo Pulmo,4,23.51,-109.48
Arreguín-Sánchez,2002,Benthic GC (Sonora),1,25.3307338850648,-113.023685650276
Arreguín-Sánchez,2002,Benthic GC (Sonora),2,25.3307338850648,-108.313843519246
Arreguín-Sánchez,2002,Benthic GC (Sonora),3,30.0807634550903,-108.313843519246
Arreguín-Sánchez,2002,Benthic GC (Sonora),4,30.0807634550903,-113.023685650276
Arreguín-Sánchez,2007,La Paz,1,24.0051612867192,-111.029474878346
Arreguín-Sánchez,2007,La Paz,2,24.0051612867192,-109.544436867107
Arreguín-Sánchez,2007,La Paz,3,25.2550387702748,-109.544436867107
Arreguín-Sánchez,2007,La Paz,4,25.2550387702748,-111.029474878346
